COD_COMM,CO_PAIS_ISOA3
SBS,NLD
SBM,HUN
SBM,CHL
SBS,CHN
SBS,PRT
SBM,NLD
SBM,ITA
SBS,ESP
SBM,DNK
SBM,GBR
SBM,LIE
COS,ECU
SBS,NOR
COS,NLD
SBM,ESP
COS,BOL
SBO,ESP
SBS,JPN
SBM,SVN
SBS,CYM
SBM,FRA
SBS,THA
SBO,IRN
SBM,BEL
SBS,DEU
SBO,CHN
SBM,PHL
SBM,IDN
SBM,THA
COS,USA
COS,PRY
WHM,PRY
SBM,TUR
SBS,PRY
SBO,TWN
SBS,KOR
SBM,DEU
SBS,GBR
SBM,KOR
SBM,JPN
SBS,CUB
SBO,HKG
SBS,USA
SBM,CHN
SBS,CRI
WHM,AGO
SBO,NLD
SBM,IRL
SBO,BGD
COS,COL
SBO,THA
SBM,POL
SBO,PAK
COS,MEX
WHM,ARG
SBS,URY
SBO,SGP
WHM,URY
SBO,MUS
SBS,PRK
COS,ARG
SBM,CZE
SBM,PRT
SBM,AUS
SBS,MEX
SBS,FRA
SBM,MYS
SBS,ITA
COS,PRT
COS,RUS
SBS,AGO
COS,TUN
SBS,GEO
SBM,SAU
COS,AGO
SBO,CYM
COS,ZWE
SBS,BEL
COS,PAN
SBM,ZAF
SBS,BOL
SBO,IND
SBS,ARG
COS,URY
WHM,BOL
SBS,RUS
SBM,PAN
SBS,VEN
SBM,ISR
SBS,PHL
SBS,MYS
COS,IRN
WHS,JPN
SBS,TUR
SBM,USA
COS,JPN
SBS,TWN
SBM,BMU
SBM,ANT
SBO,KOR
SBO,TUR
COS,PER
SBS,HUN
SBM,CIV
COS,DZA
SBO,MYS
SBM,CMR
SBO,COL
SBO,MAR
SBS,HRV
COS,GUF
SBS,GRC
COS,CPV
SBO,MDG
SBS,MAR
SBO,NOR
SBO,DEU
SBO,CHE
SBS,COL
COS,SEN
SBM,PRK
SBM,ARE
SBM,BOL
SBM,HKG
SBM,MAR
SBO,USA
SBM,SCG
COS,THA
SBS,UZB
SBM,VEN
SBS,GTM
SBM,EGY
WHM,GUF
SBM,VNM
SBS,VNM
SBM,HRV
WHS,PRY
COS,ZAF
SBM,TUN
COS,VEN
SBM,TWN
SBS,EGY
WHM,GBR
COS,TTO
SBM,IRN
SBM,URY
SBO,EGY
SBO,SEN
SBO,OMN
WHS,BOL
WHM,USA
COS,IDN
COS,ITA
SBM,GIB
SBS,DNK
SBO,ZAF
SBO,PRY
SBS,IRN
COS,CHL
SBO,DOM
COS,ESP
SBM,ARG
SBM,GRC
SBO,DZA
WHM,ITA
COS,TUR
SBS,GIB
SBS,CHE
WHM,PRT
SBM,MEX
SBS,DOM
WHS,URY
COS,PHL
SBM,COL
SBO,PER
SBO,BOL
SBO,AGO
SBO,CUB
SBO,URY
SBO,ARE
SBO,ARG
SBO,LBN
SBO,CPV
WHM,NLD
SBM,CAN
SBM,ROU
SBO,MRT
SBO,QAT
SBM,SGP
SBM,TZA
SBO,VEN
WHS,USA
SBO,GHA
SBO,SUR
SBO,NGA
SBO,MOZ
SBO,BHR
SBO,HTI
SBO,TUN
SBO,KWT
SBO,AUS
SBO,CYP
SBM,CHE
SBO,CAN
SBS,IRL
SBO,SAU
SBO,CHL
SBO,JPN
SBM,LBN
SBO,NZL
SBO,FJI
SBO,JAM
SBM,NOR
COS,DEU
SBS,CHL
SBO,PAN
COS,CRI
WHS,DEU
SBO,PRK
SBM,CPV
SBM,PRI
SBM,FIN
WHM,ESP
SBO,GUY
SBO,POL
COS,PRK
SBM,CRI
SBM,BGR
COS,KOR
SBO,FRA
SBS,ROU
COS,POL
COS,EGY
COS,HRV
SBO,RUS
COS,GBR
COS,MYS
SBO,ANT
SBO,GBR
WHS,CAN
SBO,GIN
COS,MAR
COS,ISR
COS,ROU
COS,CYP
COS,CMR
COS,SAU
COS,GRC
SBM,RUS
COS,CHE
COS,BLZ
COS,MLT
SBO,GTM
COS,CIV
COS,CAN
COS,JOR
SBS,BLZ
SBM,UKR
WHM,COL
COS,HND
COS,HUN
SBS,HKG
SBM,SVK
SBM,CYM
COS,CUB
COS,SCG
COS,LBY
COS,NOR
SBS,PER
COS,BGR
SBO,VGB
SBM,AGO
SBS,FIN
SBO,KEN
SBO,ECU
COS,MOZ
COS,VGB
SBS,COG
SBM,NZL
SBS,SCG
SBM,HND
SBS,IND
WHM,BEL
SBS,SWE
WHS,ARG
COS,CHN
COS,ANT
COS,BEL
SBO,LUX
WHM,KOR
SBS,ISR
WHS,ROU
COS,OMN
COS,SVN
SBO,TTO
WHS,MAR
WHM,VEN
WHS,PRT
COS,ARE
WHM,CPV
SBO,GRD
WHM,LBN
COS,GTM
SBM,CYP
SBO,CIV
COS,FRA
WHS,AGO
WHM,JPN
COS,BHR
COS,YEM
WHS,CPV
WHM,MOZ
WHS,MOZ
SBS,DZA
SBO,GEO
WHS,BEL
WHS,TUN
SBS,ARE
SBO,GUF
WHS,HRV
WHS,DZA
WHS,ESP
COS,HKG
WHS,ITA
SBO,ATG
SBS,BGD
WHS,TUR
COS,TWN
SBO,ITA
WHM,DNK
WHS,GRC
SBM,SEN
SBS,CAN
WHS,BGR
SBM,YEM
SBM,DOM
SBS,SYR
SBM,SWE
SBM,SYR
SBS,SVN
WHM,SLV
WHS,VCT
COS,IRL
COS,VCT
WHS,SCG
SBO,SDN
WHS,YEM
WHS,EGY
SBO,DNK
SBM,LVA
COS,GUY
WHS,PHL
SBM,ECU
SBS,SAU
WHS,AUT
WHS,ISR
SBO,ISR
SBS,UKR
SBS,POL
SBS,GUF
WHM,PAN
SBM,GIN
WHS,KOR
SBM,NGA
SBS,PAN
COS,PAK
SBO,VCT
SBM,CUB
WHM,HTI
SBS,NGA
WHM,SAU
WHM,ZAF
SBM,GUY
WHS,NGA
WHS,VNM
SBO,GRC
SBO,CRI
WHS,IRL
COS,TZA
WHS,OMN
WHS,KEN
WHS,ZAF
COS,IND
COS,DNK
SBM,IND
WHS,LAO
COS,ALB
WHM,IRL
