CODE,TYPE
COS_EXP_AFG,COUNTRY
COS_EXP_AGO,COUNTRY
COS_EXP_ALB,COUNTRY
COS_EXP_ANT,COUNTRY
COS_EXP_ARE,COUNTRY
COS_EXP_ARG,COUNTRY
COS_EXP_ARM,COUNTRY
COS_EXP_ATG,COUNTRY
COS_EXP_AUS,COUNTRY
COS_EXP_AUT,COUNTRY
COS_EXP_AZE,COUNTRY
COS_EXP_BEL,COUNTRY
COS_EXP_BEN,COUNTRY
COS_EXP_BGD,COUNTRY
COS_EXP_BGR,COUNTRY
COS_EXP_BHR,COUNTRY
COS_EXP_BHS,COUNTRY
COS_EXP_BLZ,COUNTRY
COS_EXP_BMU,COUNTRY
COS_EXP_BOL,COUNTRY
COS_EXP_BRA,COUNTRY
COS_EXP_BRB,COUNTRY
COS_EXP_CAN,COUNTRY
COS_EXP_CHE,COUNTRY
COS_EXP_CHL,COUNTRY
COS_EXP_CHN,COUNTRY
COS_EXP_CIV,COUNTRY
COS_EXP_CMR,COUNTRY
COS_EXP_COD,COUNTRY
COS_EXP_COG,COUNTRY
COS_EXP_COL,COUNTRY
COS_EXP_CPV,COUNTRY
COS_EXP_CRI,COUNTRY
COS_EXP_CUB,COUNTRY
COS_EXP_CUW,COUNTRY
COS_EXP_CYM,COUNTRY
COS_EXP_CYP,COUNTRY
COS_EXP_DEU,COUNTRY
COS_EXP_DJI,COUNTRY
COS_EXP_DNK,COUNTRY
COS_EXP_DOM,COUNTRY
COS_EXP_DZA,COUNTRY
COS_EXP_ECU,COUNTRY
COS_EXP_EGY,COUNTRY
COS_EXP_ESP,COUNTRY
COS_EXP_ETH,COUNTRY
COS_EXP_FIN,COUNTRY
COS_EXP_FRA,COUNTRY
COS_EXP_GAB,COUNTRY
COS_EXP_GBR,COUNTRY
COS_EXP_GHA,COUNTRY
COS_EXP_GIB,COUNTRY
COS_EXP_GIN,COUNTRY
COS_EXP_GLP,COUNTRY
COS_EXP_GMB,COUNTRY
COS_EXP_GNQ,COUNTRY
COS_EXP_GRC,COUNTRY
COS_EXP_GRD,COUNTRY
COS_EXP_GTM,COUNTRY
COS_EXP_GUF,COUNTRY
COS_EXP_GUY,COUNTRY
COS_EXP_HKG,COUNTRY
COS_EXP_HND,COUNTRY
COS_EXP_HRV,COUNTRY
COS_EXP_HTI,COUNTRY
COS_EXP_HUN,COUNTRY
COS_EXP_IDN,COUNTRY
COS_EXP_IMN,COUNTRY
COS_EXP_IND,COUNTRY
COS_EXP_IRL,COUNTRY
COS_EXP_IRN,COUNTRY
COS_EXP_IRQ,COUNTRY
COS_EXP_ISL,COUNTRY
COS_EXP_ISR,COUNTRY
COS_EXP_ITA,COUNTRY
COS_EXP_JAM,COUNTRY
COS_EXP_JOR,COUNTRY
COS_EXP_JPN,COUNTRY
COS_EXP_KEN,COUNTRY
COS_EXP_KHM,COUNTRY
COS_EXP_KOR,COUNTRY
COS_EXP_KWT,COUNTRY
COS_EXP_LBN,COUNTRY
COS_EXP_LBR,COUNTRY
COS_EXP_LBY,COUNTRY
COS_EXP_LCA,COUNTRY
COS_EXP_LUX,COUNTRY
COS_EXP_LVA,COUNTRY
COS_EXP_MAR,COUNTRY
COS_EXP_MEX,COUNTRY
COS_EXP_MHL,COUNTRY
COS_EXP_MLI,COUNTRY
COS_EXP_MLT,COUNTRY
COS_EXP_MMR,COUNTRY
COS_EXP_MNE,COUNTRY
COS_EXP_MOZ,COUNTRY
COS_EXP_MRT,COUNTRY
COS_EXP_MTQ,COUNTRY
COS_EXP_MYS,COUNTRY
COS_EXP_NAM,COUNTRY
COS_EXP_NER,COUNTRY
COS_EXP_NGA,COUNTRY
COS_EXP_NIC,COUNTRY
COS_EXP_NLD,COUNTRY
COS_EXP_NOR,COUNTRY
COS_EXP_NPL,COUNTRY
COS_EXP_NZL,COUNTRY
COS_EXP_OMN,COUNTRY
COS_EXP_PAK,COUNTRY
COS_EXP_PAN,COUNTRY
COS_EXP_PCN,COUNTRY
COS_EXP_PER,COUNTRY
COS_EXP_PHL,COUNTRY
COS_EXP_POL,COUNTRY
COS_EXP_PRI,COUNTRY
COS_EXP_PRK,COUNTRY
COS_EXP_PRT,COUNTRY
COS_EXP_PRY,COUNTRY
COS_EXP_QAT,COUNTRY
COS_EXP_ROU,COUNTRY
COS_EXP_RUS,COUNTRY
COS_EXP_SAU,COUNTRY
COS_EXP_SCG,COUNTRY
COS_EXP_SDN,COUNTRY
COS_EXP_SEN,COUNTRY
COS_EXP_SGP,COUNTRY
