COD_COMM,SG_UF_NCM
SBS,PR
SBM,PR
SBM,RS
SBM,SC
SBS,MA
SBM,MS
SBS,MT
COS,SP
COS,PR
COS,MG
SBS,RS
SBO,PR
SBS,SC
SBM,ND
SBS,GO
SBO,ND
SBS,MS
SBM,GO
SBS,SP
SBM,MT
SBO,SP
SBO,MT
SBS,BA
WHM,MS
SBS,ND
SBM,SP
SBO,MS
WHM,ND
COS,GO
SBO,RS
WHM,SP
WHM,RS
WHM,SC
SBS,MG
COS,RS
SBS,TO
COS,MS
SBM,MG
COS,ND
WHM,PR
SBO,SC
WHM,GO
WHS,PR
COS,SC
SBO,MG
SBS,PI
WHM,RJ
COS,PA
SBS,ES
SBM,BA
COS,RJ
WHM,PA
SBM,ES
COS,DF
SBO,GO
WHM,MG
SBS,PE
COS,MT
WHS,SP
WHS,RS
SBO,BA
WHM,MT
SBM,AM
COS,RO
SBS,DF
SBO,PE
SBO,RO
SBO,AM
WHS,SC
WHS,GO
WHS,RJ
COS,BA
WHM,RO
SBO,RJ
WHM,RR
WHS,CE
COS,CE
COS,ES
WHM,BA
SBS,RR
SBS,PA
SBO,AP
SBM,PI
WHS,ND
COS,PE
WHS,MG
WHM,ZN
SBS,RO
COS,ZN
SBS,AM
WHS,ZN
SBM,ZN
WHM,CE
SBM,RR
SBS,RJ
SBS,PB
SBM,PE
SBM,MA
SBO,TO
WHM,RN
SBO,ZN
SBO,MA
SBS,ZN
SBO,ES
SBO,DF
SBS,AC
COS,RN
SBM,CE
SBO,PI
SBO,AC
SBM,RJ
SBO,PA
WHS,PA
WHS,RE
WHM,AC
WHM,DF
WHS,MS
COS,MA
COS,TO
COS,PI
SBM,PA
SBM,AL
COS,RR
WHS,DF
COS,AC
SBM,RO
SBO,RR
COS,AP
SBS,AP
SBS,AL
WHM,AP
WHM,AL
SBS,SE
SBM,TO
WHM,MA
WHM,AM
WHM,PE
WHM,ES
SBO,AL
COS,AM
SBM,RN
SBO,CE
SBM,AC
COS,AL
COS,PB
WHS,MA
WHS,ES
WHS,BA
COS,SE
SBO,PB
WHM,PB
WHM,SE
WHS,PE
WHS,AM
WHM,PI
WHS,AL
WHS,SE
SBM,SE
SBM,PB
WHS,MT
WHM,TO
WHS,PB
WHS,RN
WHS,TO
WHS,PI
WHS,AP
WHS,RO
SBO,SE
